"Welvaart van huishoudens; kerncijfers (2011-2024)";;;;;;;
Kenmerken van huishoudens: Particuliere huishoudens;;;;;;;
;Onderwerp;;;;;;
;Particuliere huishoudens;Gemiddeld besteedbaar inkomen;Gemiddeld gestandaardiseerd inkomen;Gemiddeld besteed bedrag;Mediaan vermogen;Ongelijkheid inkomen;Ongelijkheid vermogen 
Perioden;x 1 000;1 000 euro;1 000 euro;1 000 euro;1 000 euro;Ginicoëfficiënt;Ginicoëfficiënt
2011;7347,6;36,6;25,6;.;31,8;0,286;0,777
2012;7412,1;36,8;25,8;.;25,1;0,288;0,791
2013;7467,8;37;25,9;.;17,2;0,288;0,818
2014;7496,4;39;27,3;.;17,3;0,302;0,818
2015;7568,5;38,6;27,1;33,8;20,9;0,288;0,814
2016;7623,2;40,2;28,2;.;23,5;0,289;0,808
2017;7694,9;41,6;29,2;.;30,2;0,296;0,8
2018;7760,6;42,5;29,5;.;39,4;0,29;0,789
2019;7827,4;45,7;31,6;.;52,4;0,306;0,774
2020;7894,5;46,4;32,1;35,2;65,3;0,292;0,766
2021;7951,4;48,5;33,6;.;88,4;0,292;0,74
2022;8041,4;51,2;35,6;.;135,3;0,288;0,719
2023;8163,1;57,6;40;.;134,6;0,315;0,728
2024*;8258,9;60,2;41,9;.;135,5;0,308;0,725
Bron: CBS;;;;;;;